,Kalimat,Kelas,Stemming,Lowers,TFIDF_Skitlearn
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
16,"['tampilkan', 'kartu', 'hasil', 'studi', 'semester']",id ,"['tampil', 'kartu', 'hasil', 'studi', 'semester']",tampil kartu hasil studi semester,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
17,"['nama', 'dosen', 'mengampu', 'mata', 'kuliah', 'kalkulus']",id ,"['nama', 'dosen', 'ampu', 'mata', 'kuliah', 'kalkulus']",nama dosen ampu mata kuliah kalkulus,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
18,"['kondisi', 'kampus']",ood,"['kondisi', 'kampus']",kondisi kampus,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
19,"['sks', 'mata', 'kuliah', 'algoritma', 'pemrograman']",id ,"['sks', 'mata', 'kuliah', 'algoritma', 'pemrograman']",sks mata kuliah algoritma pemrograman,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
20,"['salah', 'merk', 'sepatu', 'ternama']",ood,"['salah', 'merk', 'sepatu', 'nama']",salah merk sepatu nama,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
21,"['tampilkan', 'kartu', 'hasil', 'studi', 'semester', 'pendek']",id ,"['tampil', 'kartu', 'hasil', 'studi', 'semester', 'pendek']",tampil kartu hasil studi semester pendek,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
22,"['tampilkan', 'data', 'mahasiswa', 'bernama', 'dahlia']",id ,"['tampil', 'data', 'mahasiswa', 'nama', 'dahlia']",tampil data mahasiswa nama dahlia,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
23,"['sks', 'semester']",id ,"['sks', 'semester']",sks semester,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
24,"['tampilkan', 'ruangan', 'mata', 'kuliah', 'struktur', 'data']",id ,"['tampil', 'ruang', 'mata', 'kuliah', 'struktur', 'data']",tampil ruang mata kuliah struktur data,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
25,"['ikan', 'hidup', 'air']",ood,"['ikan', 'hidup', 'air']",ikan hidup air,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
  (548, 360)	0.3958862297264991
  (548, 215)	0.3958862297264991
  (548, 200)	0.33015545704714855
  (548, 157)	0.31294322930921087
  (548, 116)	0.27946100949064906
  (548, 227)	0.34106388846356533
  (548, 243)	0.31294322930921087
  (548, 442)	0.24016541189709162
  (548, 353)	0.2838949433921799
  (548, 93)	0.22131388359554038"
26,"['tampilkan', 'mutu']",id ,"['tampil', 'mutu']",tampil mutu,"  (0, 188)	0.567674113147593
  (0, 210)	0.3500096721219984
  (0, 249)	0.35265814194185524
  (0, 148)	0.5910926307680299
  (0, 404)	0.2854488876436425
  (1, 218)	0.770489182788436
  (1, 193)	0.3046590038916599
  (1, 179)	0.3046590038916599
  (1, 163)	0.2942977879581695
  (1, 407)	0.2854222268234912
  (1, 106)	0.22942355227730862
  (2, 70)	0.7323985849434692
  (2, 69)	0.4648895267616103
  (2, 432)	0.4974636073927117
  (3, 425)	0.5210977460512543
  (3, 41)	0.48916571291622507
  (3, 204)	0.46650957485111305
  (3, 107)	0.5210977460512543
  (4, 260)	0.7649170672135754
  (4, 159)	0.6441287761662122
  (5, 118)	0.5195369411616342
  (5, 334)	0.5847970357742946
  (5, 173)	0.6229717439162157
  (6, 370)	0.45307362473359886
  (6, 166)	0.796451165013143
  :	:
  (544, 275)	0.2847192149376701
  (545, 440)	0.7875086431014818
  (545, 210)	0.3764458727994054
  (545, 249)	0.37929438131882537
  (545, 404)	0.3070088177768294
  (546, 426)	0.6876440121661965
  (546, 408)	0.604030267766312
  (546, 381)	0.40285623757630123
  (547, 272)	0.4243695727639312
  (547, 87)	0.3983648867684881
  (547, 182)	0.3983648867684881
  (547, 247)	0.35390958243122894
  (547, 139)	0.3656028569937404
  (547, 74)	0.3440230596584172
  (547, 424)	0.35390958243122894
